Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6jX9ysnBl1mVr69HirVFoj,"Anhedonia","Anhedonia","Mark McGuire",2024-11-12,279557,8,false,1210603825,2024-12-02T18:47:46Z,"drone,post-rock,ambient","1845798 Records DK",0.414,0.406,8,-11.908,1,0.0366,0.964,0.93,0.379,0.67,149.863,1
spotify:track:5sG8EHMSFeKdMrDkl5iJtA,"Arrangements, As In Making Them","""I wish I was special""","Guests",2024-04-05,361721,0,false,1210603825,2024-12-02T18:47:46Z,"","World of Echo",0.319,0.35,0,-16.053,1,0.0739,0.921,0.929,0.108,0.122,101.634,4
spotify:track:5EJhFLDKn91L1944XEnl99,"Say you love me","Great Doubt","Astrid Sonne",2024-01-26,247123,35,false,1210603825,2024-12-02T18:47:46Z,"experimental,ambient","Escho",0.627,0.14,7,-16.197,1,0.0267,0.422,0.776,0.0793,0.165,89.838,4
spotify:track:2nvsY770KibeSiLpePtZOQ,"Sugar Snot","One Day","Loidis",2024-08-02,532120,17,false,1210603825,2024-12-02T18:47:46Z,"dub techno","Incienso (EU)",0.805,0.797,8,-10.873,1,0.0676,0.17,0.896,0.1,0.739,123.998,4
spotify:track:6jmcoSuciVydMm5s5QeHvZ,"WORLD IN US","WORLD IN US","GB",2024-05-16,169393,0,false,1210603825,2024-12-02T18:47:46Z,"","Posh Isolation",0.699,0.637,7,-8.623,1,0.0318,0.0998,0.323,0.109,0.489,151.95,4
spotify:track:6K0ZFXWrlBGpYTUqVi9ftS,"Same Life Flowed","The Next 60 Years","Thomas Bush",2024-01-27,225662,2,false,1210603825,2024-12-02T18:47:46Z,"","Jolly Discs",0.606,0.504,9,-9.311,0,0.0314,0.763,0.00105,0.117,0.362,100.038,4
spotify:track:0oMzRdqKUhgw8JIfi9t5BL,"Hanging From The Bridge","Psykos","Yung Lean;Bladee",2024-03-13,187196,39,false,1210603825,2024-12-02T18:47:46Z,"cloud rap,hyperpop","World Affairs",0.466,0.528,2,-11.006,0,0.0314,0.0614,0.345,0.49,0.0944,132.004,4
spotify:track:3W39iQwxBdXs0YwWidsxeF,"Lucky","Lucky","Varg²™;Eartheater;Earth",2024-03-21,203257,15,true,1210603825,2024-12-02T18:47:46Z,"experimental,art pop,drone metal,drone,stoner metal,sludge metal,stoner rock,doom metal,post-rock,space rock","YEAR0001",0.512,0.261,11,-10.46,0,0.0261,0.826,0.0604,0.134,0.18,97.455,4
spotify:track:4fDS9pq0XjGyv2GlQgxgbO,"feminine adornments","my anti-aircraft friend","julie",2024-09-13,253373,53,false,1210603825,2024-12-02T18:47:46Z,"shoegaze","Julie/Atlantic",0.315,0.673,0,-7.327,1,0.0374,0.133,0.0287,0.114,0.161,162.8,4
spotify:track:2ANwXtBugRYigljuV8bpzQ,"Uriel","Scenic Route - Road Less Travelled, Vol​​​.​​​ 2","Mary Jane Dunphe",2024-06-14,171760,0,false,1210603825,2024-12-02T18:47:46Z,"","Scenic Route Records",0.32,0.801,0,-7.272,1,0.0366,0.00771,0.127,0.136,0.0851,119.977,4
spotify:track:2ccAk6Iu7kjZmtE9qbMHEV,"The Horn","Lambda","ZULI",2024-07-05,130479,3,false,1210603825,2024-12-02T18:47:46Z,"jungle,experimental,idm,breakbeat","Subtext",0.253,0.509,0,-12.771,1,0.0453,0.00188,0.0011,0.699,0.266,98.063,3
spotify:track:7LwS72NhmEZUexeShYaDdr,"Five Angels by the Stream","Heart Trio","William Parker;Cooper-Moore;Hamid Drake",2024-06-28,481253,6,false,1210603825,2024-12-02T18:47:46Z,"free jazz,avant-garde,jazz,experimental jazz,gnawa","AUM Fidelity",0.409,0.298,2,-15.025,1,0.0479,0.349,0.82,0.112,0.749,79.672,4
spotify:track:1ouW1xL8QXuDdc5RNQRB6X,"she's lost control again","Backstage Raver","Joanne Robertson;Dean Blunt",2024-05-27,159453,46,false,1210603825,2024-12-02T18:47:46Z,"","WORLD MUSIC",0.234,0.383,4,-12.078,0,0.0351,0.533,0.897,0.119,0.186,177.373,4
spotify:track:2y4BYG0TwjoOuE6potowVE,"Dog's Face","Paint a Room","Chris Cohen",2024-07-12,189593,18,false,1210603825,2024-12-02T18:47:46Z,"neo-psychedelic","Hardly Art",0.609,0.363,11,-10.498,1,0.0329,0.201,0.518,0.0814,0.0485,129.763,4
spotify:track:5bDWUwlkTfiUg3fVZvufzm,"The Bell","Swan Lake","Cindy",2024-10-04,169946,5,false,1210603825,2024-12-02T18:47:46Z,"jangle pop,slowcore","Tough Love Records",0.276,0.148,5,-18.692,1,0.0465,0.937,0.608,0.101,0.157,185.896,3
spotify:track:1c7zCK17SVzA4vSvcIfykI,"Southside Girl","Southside Girl","Jonnine",2024-07-26,177500,3,false,1210603825,2024-12-02T18:47:46Z,"","Modern Love",0.39,0.125,8,-20.33,1,0.0428,0.927,0.00143,0.11,0.0767,179.066,4
spotify:track:7CF5VprtDCoMhH83nX2HhF,"Cameos","Great Times","Panoram",2024-05-17,281232,5,false,1210603825,2024-12-02T18:47:46Z,"","Balmat",0.423,0.585,9,-10.209,0,0.0472,0.9,0.904,0.0936,0.245,176.133,3
spotify:track:6VNvyzWcgWUKsV7MkINTQQ,"Double","Double","Wet",2024-06-21,182761,32,false,1210603825,2024-12-02T18:47:46Z,"","30SF",0.635,0.864,0,-6.519,1,0.0356,0.57,0.00795,0.0826,0.501,144.852,4
spotify:track:1dE8Ms8AVPC4Z0a3d4c8dK,"In Wound and Water","A Thread, Silvered and Trembling","Drew McDowall",2024-05-31,482603,14,false,1210603825,2024-12-02T18:47:46Z,"experimental,electroacoustic,drone,dark ambient,musique concrète,ambient","Dais Records",0.157,0.355,3,-9.452,0,0.036,0.758,0.874,0.111,0.0566,70.715,4
spotify:track:1CO9C5vmZdvB2XX7YuARYm,"Face To Face","Leave Another Day","Milan W.",2024-10-01,262548,0,false,1210603825,2024-12-02T18:47:46Z,"","Stroom",0.358,0.526,4,-9.481,0,0.0292,0.00411,0.731,0.144,0.0987,122.034,4
spotify:track:4D5UmxhPQVhFC83ASxJdx6,"Flowers","When you wake up","Molina",2024-10-11,124715,14,false,1210603825,2024-12-02T18:47:46Z,"","Escho",0.519,0.185,6,-11.999,0,0.0347,0.766,0.0000697,0.131,0.149,105.07,4
spotify:track:5QFP0MDccM5UbRQdza6WNO,"Bizarre","Perfectly Blue","RIP Swirl;Maria Somerville",2024-10-17,128000,21,false,1210603825,2024-12-02T18:47:46Z,"shoegaze,dream pop","In Real Life Music / Heavy Duty Music",0.669,0.928,7,-6.355,1,0.0784,0.00887,0.791,0.117,0.927,146.017,4
